	raw	filtered	denoised	merged	nonchim
B121	98281	94923	94427	90772	84653
B122	64908	62364	61922	59349	55215
B123	81179	77150	76509	72358	66779
B124	71165	68148	67631	65008	61152
B125	70962	67499	67014	63719	58868
B126	81651	78034	77383	73402	68154
B127	73163	69945	69463	66321	61971
B128	110108	104899	104169	98924	92394
B129	93521	89733	88984	82849	73733
B130	83720	79722	79071	74875	69461
B131	83218	80074	79239	73248	68337
B132	62884	60393	59923	56763	52814
B133	75984	72253	71717	68042	63729
B134	77578	74082	73490	69962	65327
B135	72124	69230	68741	65485	61865
B136	80021	76294	75783	71586	66950
B137	83741	80379	79796	75471	71721
B138	122947	116993	115939	109115	102213
B139	89678	85742	85122	81995	74536
B140	90280	86918	86264	82442	77210
B141	76145	73174	72626	69695	63131
B142	83875	80197	79444	75289	69911
B143	83818	79341	78682	74569	68779
B144	101483	96991	96281	91593	84104
B145	74983	72330	71794	68363	64915
B146	99858	96204	95416	90973	85716
B147	76109	72556	71949	68469	65143
B148	81014	77343	76607	72652	68974
B149	71389	68467	67925	64225	60547
B150	74982	72532	72035	68551	65142
B151	68376	65956	65467	62472	59508
B152	68303	65496	64954	61473	58322
B153	83125	79347	78625	74313	71490
B154	106923	102344	101551	95705	91321
B155	61909	59803	59278	56411	54031
B156	79870	76165	75593	71233	67008
B157	62751	59923	59317	55802	53168
B158	74513	72140	71622	68165	65311
B159	83285	80209	79696	75779	72223
B160	77317	74600	73946	70078	66796
B161	72905	70215	69627	65927	62584
B162	97761	93703	92966	88524	83975
B163	80901	77277	76697	72415	68813
B164	77353	74595	73961	70145	66695
B165	76009	73282	72744	69238	65744
B166	99274	95228	94477	89271	84162
B167	55459	52884	52443	49632	47130
B168	68898	66154	65468	62150	59144
B169	106696	101861	101067	95271	89506
B170	75580	72804	72241	69137	66394
B171	76128	72883	72273	68915	64788
B172	88475	84767	84074	79702	75504
B173	72527	69113	68374	64851	62413
B174	83985	80686	79992	75918	72481
B175	79117	75051	74307	70192	65913
B176	76034	73020	72448	68897	64508
B177	98307	94619	93938	89172	85207
B178	77617	74606	74039	70557	67419
B179	66754	63849	63327	60273	58146
B180	78679	75709	75049	71304	68237
B181	77820	74681	74138	70520	67847
B182	74946	71766	71212	67709	65124
B183	44679	42892	42269	38556	34938
B184	134593	129165	128313	122237	113900
B185	91378	87500	86797	81614	77375
B186	74330	71101	70587	66881	63001
B187	73006	69799	69237	65577	61820
B188	80282	77116	76485	72124	68205
B189	73437	70440	69915	65578	61558
B190	84755	80841	80246	75503	71336
B191	113593	109252	108435	102686	95834
B192	1013	808	590	447	447
