"richness"	"richness_error"	"shannon"	"simpson"
"C14"	522.002471464603	6.9441865075236	3.83927135251225	0.119114112595858
"C26"	524.207813143339	11.5334095082298	3.92069137839517	0.0922065165746122
"C38"	560.95867645478	7.52182792733335	3.92523871781633	0.109093770452131
"C50"	527.880083656593	53.862415107762	3.75557445651115	0.119354939295563
"C62"	551.035987553822	7.80346712520159	4.34860485494973	0.0457936562436703
"C74"	403.70621009679	4.91918268046321	3.29677309357954	0.177489202521709
"C86"	429.191829954045	6.97866278280188	3.43921451202576	0.153648842101169
"C3"	503.471745623171	4.32984485612756	3.76470308295666	0.121219808452162
"C15"	507.797270564742	34.9731794577019	4.43018463372889	0.0283139731555877
"C27"	349.553015899338	2.26738671166331	4.05580001534018	0.0404976303078684
"C39"	364.858028745681	148.203731346312	3.8575519038589	0.0494285690915242
"C51"	458.569159398214	6.72123591467672	4.14729813795613	0.0445844079685663
"C63"	321.090421944881	2.76846513348389	3.81104641630987	0.0550881723214154
"C75"	605.434224237867	38.7463494025867	4.60892486154756	0.0229032130912963
"C87"	456.005148184396	6.63617307832835	4.13579717984832	0.0344611147252744
"C4"	474.335956313911	157.87792286873	3.86439299167508	0.0539892867264953
