"C14"	"C26"	"C38"	"C50"	"C62"	"C74"	"C86"	"C3"	"C15"	"C27"	"C39"	"C51"	"C63"	"C75"	"C87"	"C4"
"C14"	0	0.274224047367697	0.244300284380043	0.234901508137101	0.391216084464809	0.319090189920848	0.287436310643281	0.248504725014189	0.586622885260147	0.612315286280623	0.567716537304884	0.627944654752924	0.617080628956662	0.557501101804799	0.595780862978078	0.674271201382117
"C26"	0.274224047367697	1.11022302462516e-16	0.254507056647163	0.244619854988696	0.3945874068583	0.370268104543217	0.363880793431412	0.263524806047658	0.609816574797473	0.659761905820144	0.601492261047937	0.661858933141959	0.649426904473829	0.550756636239149	0.606831168935977	0.704156087601186
"C38"	0.244300284380043	0.254507056647163	0	0.257644364984083	0.364513268674791	0.336725465270389	0.325552654800284	0.238787429465382	0.59030409299441	0.646024987250077	0.58667275715607	0.638504922708389	0.636090846913454	0.543809836598873	0.609811006160483	0.693388809615592
"C50"	0.234901508137101	0.244619854988696	0.257644364984083	0	0.395439241968917	0.325223377040089	0.308631648265995	0.240153587481651	0.585531998597469	0.63155921788666	0.580092259907009	0.617118225895961	0.621597093885632	0.538408235114105	0.592088089766687	0.677519445980021
"C62"	0.391216084464809	0.3945874068583	0.364513268674791	0.395439241968917	0	0.466266130572732	0.395365172474562	0.35036111777268	0.573282733556759	0.572333073222808	0.539218888233758	0.571704743152442	0.588087826695309	0.46871563864846	0.53370107309234	0.592912596471447
"C74"	0.319090189920848	0.370268104543217	0.336725465270389	0.325223377040089	0.466266130572732	1.11022302462516e-16	0.161678265250396	0.266183451062947	0.625954721299424	0.655070754395481	0.597977618684183	0.664001428798807	0.610336338058929	0.626895011164866	0.636743452197091	0.68083574216001
"C86"	0.287436310643281	0.363880793431412	0.325552654800284	0.308631648265995	0.395365172474562	0.161678265250396	1.11022302462516e-16	0.24230763235513	0.582430847232673	0.596828333380821	0.542005315934487	0.603167120267933	0.556156103124534	0.577248652804429	0.562492022182848	0.608431992648369
"C3"	0.248504725014189	0.263524806047658	0.238787429465382	0.240153587481651	0.35036111777268	0.266183451062947	0.24230763235513	0	0.568866789509562	0.635555808098892	0.586750473936494	0.639441183866896	0.628246352511189	0.531112778401429	0.555940000245981	0.672364077436743
"C15"	0.586622885260147	0.609816574797473	0.59030409299441	0.585531998597469	0.573282733556759	0.625954721299424	0.582430847232673	0.568866789509562	0	0.372233977529525	0.347082217157159	0.406303020166015	0.367690380029451	0.392320077005424	0.383245819315159	0.443077311804291
"C27"	0.612315286280623	0.659761905820144	0.646024987250077	0.63155921788666	0.572333073222808	0.655070754395481	0.596828333380821	0.635555808098892	0.372233977529525	1.11022302462516e-16	0.308193502148913	0.251217978177343	0.335640289698422	0.397908650235271	0.399046805078477	0.265274712053907
"C39"	0.567716537304884	0.601492261047937	0.58667275715607	0.580092259907009	0.539218888233758	0.597977618684183	0.542005315934487	0.586750473936494	0.347082217157159	0.308193502148913	1.11022302462516e-16	0.364257226837406	0.112817397614753	0.398738487489114	0.38625084339651	0.332166297839485
"C51"	0.627944654752924	0.661858933141959	0.638504922708389	0.617118225895961	0.571704743152442	0.664001428798807	0.603167120267933	0.639441183866896	0.406303020166015	0.251217978177343	0.364257226837406	0	0.356033131568852	0.423815967641253	0.442009013999525	0.29220245998582
"C63"	0.617080628956662	0.649426904473829	0.636090846913454	0.621597093885632	0.588087826695309	0.610336338058929	0.556156103124534	0.628246352511189	0.367690380029451	0.335640289698422	0.112817397614753	0.356033131568852	0	0.445454817125097	0.414436503706879	0.302689989661532
"C75"	0.557501101804799	0.550756636239149	0.543809836598873	0.538408235114105	0.46871563864846	0.626895011164866	0.577248652804429	0.531112778401429	0.392320077005424	0.397908650235271	0.398738487489114	0.423815967641253	0.445454817125097	0	0.406587419097237	0.429366277747476
"C87"	0.595780862978078	0.606831168935977	0.609811006160483	0.592088089766687	0.53370107309234	0.636743452197091	0.562492022182848	0.555940000245981	0.383245819315159	0.399046805078477	0.38625084339651	0.442009013999525	0.414436503706879	0.406587419097237	0	0.415275785758225
"C4"	0.674271201382117	0.704156087601186	0.693388809615592	0.677519445980021	0.592912596471447	0.68083574216001	0.608431992648369	0.672364077436743	0.443077311804291	0.265274712053907	0.332166297839485	0.29220245998582	0.302689989661532	0.429366277747476	0.415275785758225	0
